"003","0021","003","AUDI","A3","1.6 (102cv) Pack Alcantara 3Ptas. L/Nueva","u$s","35930","28500","26000","23500","22000","20500","18000","16200",,,,,
"003","0021","004","AUDI","A3","1.6 (102cv) Pack Premium 3Ptas. L/Nueva","u$s","35730","28500","26000","23500","22000","20000","18000","16200",,,,,
"003","0021","067","AUDI","A3","1.8 MT 3Ptas.","u$s",,,,,,,,,,,"10000","9000","8000"
"003","0021","068","AUDI","A3","1.8 AT 3Ptas.","u$s",,,,,,,,,,,"10500","9500","8400"
"003","0021","069","AUDI","A3","1.8 MT 5Ptas.","u$s",,,,,,,,,,,"10500","9500","8550"
"003","0021","070","AUDI","A3","1.8 AT 5Ptas.","u$s",,,,,,,,,,,"11000","10000","9000"
"003","0021","080","AUDI","A3","1.8 Turbo (150cv) MT 3Ptas.","u$s",,,,,,,,,"13500","12000","10800","9800","8820"
"003","0021","081","AUDI","A3","1.8 Turbo (150cv) MT Attraction 3Ptas.","u$s",,,,,,,,,"13500","12000","11000","10400","9600"
"003","0021","079","AUDI","A3","1.8 Turbo (150cv) AT 3Ptas.","u$s",,,,,,,,,,"11500","10500","9500","9200"
"003","0021","083","AUDI","A3","1.8 Turbo (150cv) MT 5Ptas.","u$s",,,,,,,,"14000","13500","12000","10800",,
"003","0021","084","AUDI","A3","1.8 Turbo (150cv) MT Attraction 5Ptas.","u$s",,,,,,,,,"13500","12000","11000","10500","9450"
"003","0021","082","AUDI","A3","1.8 Turbo (150cv) AT 5Ptas.","u$s",,,,,,,,,,"11500","10500","9450",
"003","0021","071","AUDI","A3","1.8 Turbo (180cv) MT 3Ptas.","u$s",,,,,,,,,"12500","11500","10500","9450",
"003","0021","075","AUDI","A3","1.8 Turbo (180cv) MT 5Ptas.","u$s",,,,,,,,"15000","13500","12150",,,
"003","0021","074","AUDI","A3","1.8 Turbo (180cv) Tiptronic 3Ptas.","u$s",,,,,,,,,"14300","12870",,,
"003","0021","078","AUDI","A3","1.8 Turbo (180cv) Tiptronic 5Ptas.","u$s",,,,,,,,"15500","14500","13050",,,
"003","0021","072","AUDI","A3","1.8 Turbo (180cv) Ambition 3Ptas.","u$s",,,,,,,,,"13800","12420",,,
"003","0021","076","AUDI","A3","1.8 Turbo (180cv) Ambition 5Ptas.","u$s",,,,,,,,,"14200","12780",,,
"003","0021","073","AUDI","A3","1.8 Turbo (180cv) Ambition Tiptronic 3Ptas.","u$s",,,,,,,,,"14800","13320",,,
"003","0021","077","AUDI","A3","1.8 Turbo (180cv) Ambition Tiptronic 5Ptas.","u$s",,,,,,,,,"14800","13320",,,
"003","0021","085","AUDI","A3","1.8 Turbo Quattro (180cv) 3Ptas.","u$s",,,,,,,,,,,"12000","10800",
"003","0021","086","AUDI","A3","1.8 Turbo Quattro (210cv) 3Ptas.","u$s",,,,,,,,,,,"18000","16200",
"003","0021","087","AUDI","A3","1.8 Turbo Quattro (225cv) 3Ptas.","u$s",,,,,,,,,"20500","18450",,,
"003","0021","173","AUDI","A3","1.8 TFSI MT (160cv) 3Ptas.","u$s","41180","31900","28710",,,,,,,,,,
"003","0021","174","AUDI","A3","1.8 TFSI MT (160cv) Pack Alcántara 3Ptas.","u$s","44080","34200","30780",,,,,,,,,,
"003","0021","175","AUDI","A3","1.8 TFSI MT (160cv) Pack Cuero 3Ptas.","u$s","44680","34700","31230",,,,,,,,,,
"003","0021","176","AUDI","A3","1.8 TFSI MT (160cv) Pack Premium 3Ptas.","u$s","43880","34100","30690",,,,,,,,,,
"003","0021","177","AUDI","A3","1.8 TFSI MT (160cv) Plus 3Ptas.","u$s","43030","33400","30060",,,,,,,,,,
"003","0021","181","AUDI","A3","1.8 TFSI (160cv) S-tronic 3Ptas.","u$s","45100","34600","31140",,,,,,,,,,
"003","0021","182","AUDI","A3","1.8 TFSI (160cv) S-tronic Pack Alcántara","u$s","48000","36900","33210",,,,,,,,,,
"003","0021","183","AUDI","A3","1.8 TFSI (160cv) S-tronic Pack Cuero","u$s","48600","37400","33660",,,,,,,,,,
"003","0021","184","AUDI","A3","1.8 TFSI (160cv) S-tronic Pack Premium","u$s","47800","36800","33120",,,,,,,,,,
"003","0021","185","AUDI","A3","1.8 TFSI (160cv) S-tronic Plus","u$s","46950","36100","32490",,,,,,,,,,
"003","0021","009","AUDI","A3","2.0 FSI (150cv) MT","u$s",,,"28000","25000","23000","21000","19000","17000",,,,,
"003","0021","010","AUDI","A3","2.0 FSI (150cv) MT Cuero","u$s",,,"30000","27000","24500","23000","21500","19350",,,,,
"003","0021","011","AUDI","A3","2.0 FSI (150cv) MT Alcantara","u$s",,,"30000","27000","24500","23000","21500","19350",,,,,
"003","0021","012","AUDI","A3","2.0 FSI (150cv) MT Premium","u$s",,,"30000","27000","24500","22500","21000","18900",,,,,
"003","0021","013","AUDI","A3","2.0 FSI (150cv) Tiptronic","u$s",,,"30000","27000","24500","22500","21000","18900",,,,,
"003","0021","014","AUDI","A3","2.0 FSI (150cv) Tiptronic Pack Cuero","u$s",,,"31000","28000","25500","24000","22300","20070",,,,,
"003","0021","015","AUDI","A3","2.0 FSI (150cv) Tiptronic Alcantara","u$s",,,"31000","28000","25500","24000","22300","20070",,,,,
"003","0021","016","AUDI","A3","2.0 FSI (150cv) Tiptronic Premium","u$s",,,"31000","28000","25500","24000","22300","20070",,,,,
"003","0021","122","AUDI","A3","2.0 TFSI (200cv) MT","u$s","43060","36500","31500","27500","24500","22050",,,,,,,
"003","0021","123","AUDI","A3","2.0 TFSI (200cv) MT Pack Cuero","u$s","46560","38000","33000","29000","26000","23400",,,,,,,
"003","0021","125","AUDI","A3","2.0 TFSI (200cv) MT Pack Alcantara","u$s","45960","38000","33000","29000","26000","23400",,,,,,,
"003","0021","127","AUDI","A3","2.0 TFSI (200cv) MT Pack Premium","u$s","45760","37000","32000","28000","25000","22500",,,,,,,
"003","0021","128","AUDI","A3","2.0 TFSI (200cv) Tiptronic","u$s","47300","38000","33000","29000","26000","23400",,,,,,,
