"058","0002","008","DIMEX","Camiones","D 1731 Euro II 4x2 (310cv)","$",,,,,,,,,,,"160000","156000","153000","150000","145000","140000",,,,,,,,,
"058","0002","009","DIMEX","Camiones","D 1737 Euro II 4x2 (370cv)","$",,,,,,,,,,,"165000","160000","155000","151000","147000","142000",,,,,,,,,
"058","0002","010","DIMEX","Camiones","D 2730 N","$",,,,,,,,,,,"170000","165000","160000","155000","150000","145000",,,,,,,,,
"058","0001","002","DIMEX","Chasis p/omnibus","D 916","$",,,,,,,,,,,,"95000","90000",,,,,,,,,,,,
"058","0001","001","DIMEX","Chasis p/omnibus","D 1116 T","$",,,,"160000","155000","150000",,,"115000","110000","105000","100000",,,,,,,,,,,,,
"058","0001","003","DIMEX","Chasis p/omnibus","D-1422 T Motor Trasero AT","$",,,,,,,,,,,"110000","105000","100000",,,,,,,,,,,,
"058","0001","004","DIMEX","Chasis p/omnibus","D-1622 T/52 Motor Trasero AT","$",,,,,,,,,,,"115000","100000","95000",,,,,,,,,,,,
"058","0001","005","DIMEX","Chasis p/omnibus","D-1622 T/58 Motor Trasero AT","$",,,,,,,,,,,"115000","100000","95000",,,,,,,,,,,,
"059","0001","001","F.E.R.E.S.A.","AV-120","Chasis cto.  Full petrol. c/caja","$",,,,,,,,,,,,,"33000","31500","24500","23500","22600","21000",,,,,,,
"059","0001","004","F.E.R.E.S.A.","AV-120","Chasis extra lgo. neumatico","$",,,,,,,,,,,,,"36500","34500","28300","27000","25800","24000",,,,,,,
"059","0001","002","F.E.R.E.S.A.","AV-120","Chasis cto. STD  petrolero","$",,,,,,,,,,,,,"30500","29000","23800","22800","21900","20000",,,,,,,
"059","0001","003","F.E.R.E.S.A.","AV-120","Chasis extra lgo.","$",,,,,,,,,,,,,"33000","31000","25900","24800","23800","22000",,,,,,,
"059","0001","005","F.E.R.E.S.A.","AV-120","Chasis lgo. c/caja","$",,,,,,,,,,,,,"32000","30500","24500","23500","22600","21000",,,,,,,
"059","0001","006","F.E.R.E.S.A.","AV-120","Chasis lgo. Full c/caja","$",,,,,,,,,,,,,"33000","31500","25100","24000","23000","20000",,,,,,,
"059","0001","007","F.E.R.E.S.A.","AV-120","Chasis lgo. Full s/caja","$",,,,,,,,,,,,,"31500","30000","25100","24000","23000","20000",,,,,,,
"059","0001","008","F.E.R.E.S.A.","AV-120","Chasis lgo. STD s/caja","$",,,,,,,,,,,,,"31000","29000","24200","23200","22000","19000","17300","16700","15200",,,,
"059","0001","009","F.E.R.E.S.A.","AV-120","Semirremolque Full","$",,,,,,,,,,,,,"32000","30200","25200","24100","23100","20000",,,,,,,
